user_id,age,sex,occupation
565,43,M,Self-employed
566,43,M,Technician
567,53,M,Writer
568,68,F,Technician
569,36,F,College
570,43,M,College
571,68,M,Customer Service
572,36,M,College
573,53,F,Artist
574,43,M,Unemployed
575,43,M,Programmer
576,63,F,Scientist
577,53,M,Other
578,36,M,Technician
579,43,M,Customer Service
580,19,M,Student
581,68,M,Sales
582,36,M,College
583,43,F,Other
584,43,F,Other
585,36,M,Educator
586,53,M,Sales
587,43,M,Writer
588,43,F,Lawyer
589,36,M,Artist
590,53,F,Doctor
591,43,M,Other
592,36,M,Other
593,68,F,Educator
594,74,F,Retired
595,43,M,Executive
596,43,F,Educator
597,53,M,Programmer
598,53,M,Executive
599,68,M,Doctor
600,53,M,Technician
601,36,F,Writer
602,74,F,Doctor
603,43,F,Doctor
604,63,M,Technician
605,36,F,College
606,19,F,Student
607,43,M,Other
608,36,M,College
609,43,M,Executive
610,43,M,College
611,53,M,Other
612,68,M,Executive
613,53,M,Writer
614,53,M,Educator
615,68,M,Technician
616,43,M,Executive
617,43,F,Executive
618,43,M,Other
619,36,F,Educator
620,36,M,Other
621,36,M,College
622,43,M,Other
623,43,M,Technician
624,43,M,Educator
625,53,F,Programmer
626,36,M,College
627,68,M,Artist
628,53,F,Other
629,19,F,Student
630,53,F,Sales
631,53,M,Technician
632,63,M,Technician
633,43,M,Technician
634,19,F,Student
635,74,M,Technician
636,36,M,Writer
637,53,M,Programmer
638,43,M,Doctor
639,63,M,Technician
640,36,M,College
641,53,F,Other
642,53,F,Educator
643,43,M,Artist
644,43,M,Writer
645,53,M,Writer
646,53,M,Executive
647,53,M,Programmer
648,43,F,Programmer
649,43,M,College
650,43,M,Technician
651,53,M,Executive
652,36,M,Writer
653,74,M,Retired
654,68,M,Executive
655,43,F,Artist
656,63,F,Self-employed
657,68,F,Retired
658,43,F,Other
659,43,F,Other
660,63,M,Self-employed
661,63,M,Educator
662,36,M,College
663,43,F,Executive
664,53,M,Tradesman
665,36,M,Artist
666,36,F,Other
667,43,M,Tradesman
668,43,F,Administrator
669,43,M,Technician
670,43,M,Programmer
671,36,M,College
672,53,M,Executive
673,43,M,Writer
674,43,M,Technician
675,43,M,Writer
676,36,M,Self-employed
677,68,M,Artist
678,43,M,Other
679,53,M,Self-employed
680,43,M,Programmer
681,53,M,Executive
682,43,M,College
683,43,M,College
684,43,M,College
685,43,M,College
686,36,M,College
687,43,F,Executive
688,74,M,Retired
689,68,F,Other
690,43,M,Programmer
691,53,M,Lawyer
692,43,F,Other
693,53,M,Programmer
694,36,M,College
695,36,F,Educator
696,43,M,Programmer
697,68,F,Doctor
698,36,M,College
699,36,M,Other
700,68,M,Technician
701,36,F,College
702,53,M,Executive
703,74,F,Educator
704,53,F,Farmer
705,43,M,College
706,53,M,Writer
707,53,M,Executive
708,43,M,Other
709,36,M,Other
710,43,M,Writer
711,43,M,Tradesman
712,43,M,Other
713,53,M,Executive
714,36,M,College
715,36,M,Other
716,36,M,College
717,43,M,Lawyer
718,36,M,Artist
719,19,M,Other
720,36,M,Other
721,53,F,Homemaker
722,43,M,Programmer
723,43,M,Programmer
724,68,M,Retired
725,74,M,Lawyer
726,43,F,Homemaker
727,53,M,Lawyer
728,43,M,Doctor
729,53,M,Programmer
730,43,M,Other
731,63,M,Administrator
732,43,M,Executive
733,53,M,Self-employed
734,43,M,Executive
735,43,M,Sales
736,36,M,Programmer
737,19,M,Unemployed
738,36,M,Technician
739,53,M,Programmer
740,43,M,Sales
741,43,M,Customer Service
742,36,M,Other
743,19,F,Artist
744,43,M,Technician
745,19,M,Student
746,36,F,Unemployed
747,36,M,College
748,43,M,Other
749,53,M,Tradesman
750,53,F,Homemaker
751,43,F,Technician
752,43,F,Administrator
753,19,M,Student
754,53,M,Executive
755,53,F,Other
756,53,M,Other
757,43,M,Programmer
758,53,M,Executive
759,74,F,Administrator
760,74,M,Scientist
761,36,M,Executive
762,19,M,Student
763,36,M,Student
764,36,M,Writer
765,43,M,Technician
766,43,F,Executive
767,43,M,Programmer
768,43,M,Programmer
769,63,M,Technician
770,36,M,College
771,68,F,Educator
772,36,M,Programmer
773,43,M,Doctor
774,36,M,College
775,19,M,Technician
776,43,F,Administrator
777,36,M,Unemployed
778,36,M,Technician
779,43,M,Other
780,43,M,Technician
781,36,M,College
782,74,M,Educator
783,43,M,College
784,36,M,Other
785,36,M,Unemployed
786,43,M,Other
787,36,M,College
788,43,M,Other
789,36,M,Educator
790,43,M,Technician
791,53,M,Executive
792,43,M,Technician
793,53,F,Sales
794,68,M,Writer
795,53,F,Sales
796,68,M,Doctor
797,68,F,Executive
798,43,F,Writer
799,43,F,Customer Service
800,53,F,Programmer
801,43,F,Writer
802,43,M,Self-employed
803,36,M,College
804,43,M,Writer
805,53,M,Programmer
806,53,M,Other
807,36,M,College
808,43,M,Executive
809,43,M,Technician
810,43,M,Programmer
811,68,M,Other
812,43,M,Doctor
813,36,M,College
814,36,F,College
815,43,M,College
816,63,M,Other
817,36,M,College
818,36,M,College
819,53,M,Executive
820,53,M,Executive
821,36,M,Artist
822,43,F,Educator
823,43,M,Other
824,53,M,Programmer
825,74,M,Educator
826,53,F,Educator
827,63,M,Artist
828,36,M,College
829,19,M,Unemployed
830,53,M,Executive
831,63,F,Other
832,36,M,Artist
833,53,M,Executive
834,53,F,Programmer
835,74,M,Other
836,43,M,Lawyer
837,74,M,Executive
838,68,M,Technician
839,43,M,Other
840,43,F,Administrator
841,68,F,Sales
842,36,F,Other
843,43,M,Executive
844,43,M,Other
845,36,F,Other
846,43,M,Customer Service
847,43,F,Executive
848,43,M,Scientist
849,43,M,Administrator
850,53,M,Other
851,36,M,College
852,43,M,Customer Service
853,43,M,Technician
854,43,F,Self-employed
855,36,F,Artist
856,63,F,Doctor
857,53,M,Technician
858,53,M,Sales
859,43,M,Programmer
860,36,M,Other
861,43,M,Executive
862,53,M,Executive
863,43,M,Executive
864,43,F,Other
865,53,M,Educator
866,19,M,Student
867,63,M,Programmer
868,68,M,Technician
869,36,M,Writer
870,43,F,Educator
871,19,M,Student
872,68,M,Educator
873,74,M,Doctor
874,63,M,Scientist
875,19,M,Student
876,43,M,College
877,43,M,Other
878,36,M,Artist
879,63,M,Self-employed
880,53,M,Technician
881,36,M,Sales
882,36,M,Artist
883,53,F,Sales
884,19,M,Student
885,53,M,Other
886,74,F,Other
887,74,F,Self-employed
888,19,F,Student
889,63,M,Writer
890,36,M,College
891,43,M,Educator
892,53,M,Other
893,68,F,Doctor
894,36,M,College
895,68,M,Educator
896,36,M,Scientist
897,43,M,Doctor
898,43,M,Executive
899,43,F,Educator
900,74,F,Retired
901,74,F,Other
902,74,M,Other
903,74,M,Retired
904,53,M,Writer
905,63,F,Programmer
906,19,M,Student
907,63,F,Doctor
908,68,F,Educator
909,63,M,Executive
910,68,F,Other
911,68,M,Other
912,53,F,Artist
913,43,M,Other
914,53,F,Homemaker
915,43,M,Executive
916,43,F,Educator
917,68,M,Doctor
918,63,F,Educator
919,53,F,Educator
920,36,M,College
921,43,M,Technician
922,74,M,Self-employed
923,43,M,Executive
924,68,M,Technician
925,53,F,Administrator
926,19,M,Student
927,43,F,Writer
928,74,F,Self-employed
929,43,M,Scientist
930,43,M,Customer Service
931,74,F,Educator
932,53,F,Doctor
933,63,M,Educator
934,53,F,Executive
935,53,M,Sales
936,36,M,College
937,43,M,Scientist
938,43,F,Educator
939,43,F,Writer
940,19,M,Student
941,36,M,Writer
942,68,F,Doctor
943,63,F,Programmer
944,53,M,Other
945,63,M,Executive
946,53,M,Executive
947,36,M,Other
948,74,M,Programmer
949,68,M,Technician
950,53,M,Executive
951,63,M,Artist
952,74,M,Self-employed
953,68,M,Writer
954,43,F,Other
955,68,F,Executive
956,53,M,Educator
957,53,M,Educator
958,53,M,Artist
959,68,M,Lawyer
960,19,M,Student
961,36,M,Student
962,43,F,Educator
963,43,M,Other
964,43,M,Executive
965,74,M,Executive
966,74,M,Artist
967,36,F,Other
968,68,M,Programmer
969,43,F,Lawyer
970,43,M,Other
971,43,M,Programmer
972,63,M,Educator
973,43,F,Educator
974,53,M,Unemployed
975,53,M,Other
976,53,M,Sales
977,43,M,Artist
978,36,M,Other
979,19,M,Student
980,43,M,Doctor
981,43,M,Writer
982,43,F,Homemaker
983,43,F,Self-employed
984,68,M,Self-employed
985,43,M,College
986,74,F,Other
987,53,F,Technician
988,68,M,Lawyer
989,68,M,Other
990,36,M,Doctor
991,43,F,Homemaker
992,53,F,Administrator
993,43,M,Other
994,36,M,Artist
995,36,F,College
996,43,M,Technician
997,19,M,Unemployed
998,63,M,Writer
999,43,M,Scientist
1000,43,F,Doctor
1001,43,M,College
1002,68,M,Lawyer
1003,43,M,Artist
1004,43,M,Administrator
1005,53,M,Lawyer
1006,36,M,College
1007,68,M,Programmer
1008,53,M,Administrator
1009,68,M,Executive
1010,43,M,Other
1011,43,M,Farmer
1012,53,F,Educator
1013,74,M,Retired
1014,63,F,Technician
1015,53,M,Administrator
1016,74,M,Self-employed
1017,53,M,Other
1018,36,M,College
1019,53,M,Educator
1020,36,M,Writer
1021,53,M,Other
1022,43,M,Administrator
1023,74,M,Retired
1024,53,F,Educator
1025,43,M,Self-employed
1026,63,F,Other
1027,36,M,College
1028,63,F,Executive
1029,43,M,Other
1030,43,M,Executive
1031,53,M,Self-employed
1032,68,M,Self-employed
1033,43,M,Customer Service
1034,53,F,Educator
1035,36,M,Artist
1036,53,M,Executive
1037,63,M,Executive
1038,74,F,Scientist
1039,53,F,Educator
1040,43,M,Lawyer
1041,63,M,Artist
1042,53,M,Customer Service
1043,68,F,Lawyer
1044,43,M,Writer
1045,19,F,Student
1046,74,M,Tradesman
1047,36,M,Other
1048,53,M,Doctor
1049,63,M,Sales
1050,43,M,Educator
1051,43,F,Other
1052,53,F,Artist
1053,53,M,Other
1054,19,M,Student
1055,53,M,Other
1056,19,M,Other
1057,63,M,Technician
1058,43,M,Educator
1059,43,F,Other
1060,36,M,Student
1061,63,M,Other
1062,68,M,Unemployed
1063,53,M,Executive
1064,43,M,Executive
1065,43,F,Other
1066,63,M,Programmer
1067,53,M,Programmer
1068,36,F,College
1069,43,M,Writer
1070,63,F,Artist
1071,68,M,Self-employed
1072,53,F,Executive
1073,43,F,Doctor
1074,63,M,Technician
1075,43,F,Doctor
1076,43,F,Administrator
1077,43,M,Administrator
1078,63,F,Homemaker
1079,43,M,Executive
1080,74,M,Executive
1081,36,M,College
1082,63,M,Executive
1083,74,M,Other
1084,19,M,Unemployed
1085,43,M,Executive
1086,36,M,College
1087,43,M,Self-employed
1088,19,F,Student
1089,53,M,Doctor
1090,43,M,Executive
1091,36,M,Customer Service
1092,36,F,College
1093,68,M,Sales
1094,36,F,Other
1095,74,F,Doctor
1096,19,M,Student
1097,36,M,Technician
1098,53,M,Executive
1099,43,M,Technician
1100,43,M,Other
1101,53,M,Educator
1102,36,M,Educator
1103,63,F,Executive
1104,53,M,Lawyer
1105,53,M,Doctor
1106,36,M,College
1107,68,F,Educator
1108,74,M,Educator
1109,36,M,Student
1110,74,F,Doctor
1111,68,F,Self-employed
1112,36,M,Doctor
1113,36,M,College
1114,36,F,Homemaker
1115,43,F,Educator
1116,43,M,Scientist
1117,36,M,Sales
1118,68,M,Retired
1119,53,M,Educator
1120,36,M,College
1121,74,M,Executive
1122,74,M,Sales
1123,68,M,Other
1124,43,M,Artist
1125,36,F,College
1126,74,M,Self-employed
1127,43,M,Other
1128,43,M,Educator
1129,53,M,Technician
1130,36,M,Executive
1131,74,M,Retired
1132,36,M,Programmer
1133,36,M,Artist
1134,36,M,Writer
1135,68,M,Retired
1136,53,F,Executive
1137,36,M,College
1138,36,M,Programmer
1139,43,M,Educator
1140,63,F,Artist
1141,43,F,Administrator
1142,36,M,Educator
1143,68,M,Executive
1144,43,M,Executive
1145,68,M,Administrator
1146,36,F,Self-employed
1147,43,M,Writer
1148,53,M,Technician
1149,43,M,Programmer
1150,43,F,Writer
1151,43,M,Scientist
1152,36,M,College
1153,36,M,Student
1154,19,F,Student
1155,43,M,Programmer
1156,68,F,Artist
1157,63,M,Executive
1158,53,F,Educator
1159,36,M,Other
1160,36,M,Sales
1161,43,M,Other
1162,53,F,Other
1163,19,M,Student
1164,43,F,Unemployed
1165,43,M,Programmer
1166,74,M,Doctor
1167,68,F,Educator
1168,43,F,Other
1169,43,M,Writer
1170,74,M,Administrator
1171,63,M,Programmer
1172,43,F,Other
1173,43,F,Executive
1174,36,F,Self-employed
1175,43,F,Artist
1176,74,M,Educator
1177,43,F,Technician
1178,74,M,Other
1179,68,M,Educator
1180,68,F,Writer
1181,53,M,Executive
1182,19,M,Student
1183,53,M,Unemployed
1184,43,F,College
1185,53,F,Educator
1186,36,M,Unemployed
1187,19,F,Other
1188,63,M,Executive
1189,43,M,Other
1190,63,M,Other
1191,53,F,Other
1192,68,M,Self-employed
1193,43,M,Programmer
1194,43,F,Educator
1195,19,F,Student
1196,36,F,Sales
1197,53,M,Educator
1198,19,M,Student
1199,68,M,Retired
1200,19,M,Other
1201,36,M,College
1202,53,M,Programmer
1203,43,F,Educator
1204,43,M,Executive
1205,74,F,Other
1206,68,F,Executive
1207,68,M,Other
1208,43,M,Other
1209,53,M,Executive
1210,43,M,Technician
1211,36,M,College
1212,68,F,Educator
1213,68,M,Other
1214,74,M,Retired
1215,53,M,Technician
1216,43,M,Artist
1217,43,M,Programmer
1218,74,M,Scientist
1219,43,M,Executive
1220,19,M,Student
1221,36,M,Other
1222,53,M,Other
1223,43,M,Artist
1224,68,M,Retired
1225,63,M,Executive
1226,36,M,Writer
1227,68,M,Educator
1228,43,M,Educator
1229,43,F,College
1230,43,M,Lawyer
1231,43,M,Programmer
1232,36,F,College
1233,63,F,Writer
1234,36,M,College
1235,43,F,Executive
1236,43,F,Educator
1237,36,M,College
1238,53,F,Writer
1239,43,F,Writer
1240,36,F,Sales
1241,19,M,Student
1242,53,F,Other
1243,53,M,Scientist
1244,43,M,College
1245,43,M,Technician
1246,36,M,College
1247,53,M,Other
1248,53,F,Writer
1249,53,M,Artist
1250,68,M,Other
1251,43,M,Executive
1252,74,M,Retired
1253,53,F,Writer
1254,36,F,Educator
1255,43,M,Technician
1256,43,M,Writer
1257,36,F,Sales
1258,63,M,Executive
1259,53,M,Executive
1260,43,M,Technician
1261,36,M,College
1262,43,M,College
1263,19,M,Student
1264,43,M,Educator
1265,36,F,Writer
1266,43,M,College
1267,43,M,Scientist
1268,68,M,Artist
1269,74,F,Retired
1270,43,M,Doctor
1271,63,F,Doctor
1272,36,M,Writer
1273,53,M,Artist
1274,63,M,Executive
1275,68,M,Technician
1276,53,M,Technician
1277,36,F,Other
1278,36,M,College
1279,53,M,Educator
1280,19,M,Student
1281,43,M,Unemployed
1282,68,M,Educator
1283,36,F,Educator
1284,63,M,Self-employed
1285,53,M,College
1286,53,M,Technician
1287,68,F,Executive
1288,53,F,Unemployed
1289,63,M,Doctor
1290,53,M,Other
1291,53,F,Other
1292,43,M,Executive
1293,43,M,Customer Service
1294,68,F,Writer
1295,53,F,Doctor
1296,19,M,Other
1297,43,M,Executive
1298,53,M,Doctor
1299,43,M,Sales
1300,19,M,Student
1301,43,F,Artist
1302,36,M,College
1303,43,M,Unemployed
1304,43,M,Sales
1305,63,M,Writer
1306,43,M,Administrator
1307,74,M,Retired
1308,19,M,Student
1309,43,M,Sales
1310,63,M,Other
1311,36,M,Student
1312,43,M,Sales
1313,36,M,College
1314,36,F,College
1315,53,M,Executive
1316,68,M,Artist
1317,63,M,Executive
1318,36,M,Self-employed
1319,43,F,Administrator
1320,43,M,College
1321,43,F,Sales
1322,74,M,Other
1323,53,F,Artist
1324,53,M,Self-employed
1325,43,M,Educator
1326,43,F,Other
1327,19,M,Student
1328,53,M,Sales
1329,36,M,Sales
1330,74,M,Educator
1331,63,M,Other
1332,43,M,Executive
1333,43,M,Technician
1334,68,M,Executive
1335,53,M,Other
1336,68,F,Writer
1337,74,M,Technician
1338,43,M,Other
1339,53,M,Tradesman
1340,43,M,Executive
1341,36,M,Executive
1342,53,M,Other
1343,53,M,Sales
1344,43,F,Homemaker
1345,43,F,Artist
1346,53,M,Writer
1347,36,F,Educator
1348,19,F,Student
1349,68,M,Executive
1350,53,F,Other
1351,43,F,Technician
1352,53,M,Writer
1353,19,M,Student
1354,43,F,Artist
1355,63,F,Writer
1356,36,F,College
1357,63,M,Other
1358,53,M,Technician
1359,53,M,Educator
1360,43,M,Writer
1361,43,F,Other
1362,53,M,Programmer
